antecedents,consequents,support,confidence,lift,leverage,conviction
frozenset({'abnormal menstruation'}),frozenset({'mood swings'}),0.046341463414634146,0.95,20.5,0.04408090422367638,19.0731707317073
frozenset({'mood swings'}),frozenset({'abnormal menstruation'}),0.046341463414634146,1.0,20.5,0.04408090422367638,inf
frozenset({'mood swings'}),"frozenset({'irritability', 'abnormal menstruation'})",0.046341463414634146,1.0,20.5,0.04408090422367638,inf
"frozenset({'irritability', 'mood swings'})",frozenset({'abnormal menstruation'}),0.046341463414634146,1.0,20.5,0.04408090422367638,inf
"frozenset({'fatigue', 'mood swings'})",frozenset({'abnormal menstruation'}),0.042682926829268296,1.0,20.5,0.04060083283759667,inf
frozenset({'abnormal menstruation'}),"frozenset({'irritability', 'mood swings'})",0.046341463414634146,0.95,20.5,0.04408090422367638,19.0731707317073
"frozenset({'irritability', 'abnormal menstruation'})",frozenset({'mood swings'}),0.046341463414634146,0.95,20.5,0.04408090422367638,19.0731707317073
frozenset({'abnormal menstruation'}),"frozenset({'fatigue', 'mood swings'})",0.042682926829268296,0.875,20.5,0.04060083283759667,7.658536585365853
"frozenset({'loss of appetite', 'headache'})",frozenset({'red spots over body'}),0.045121951219512194,0.9736842105263158,20.472334682861,0.04291790600832837,36.192682926829306
frozenset({'red spots over body'}),"frozenset({'loss of appetite', 'headache'})",0.045121951219512194,0.9487179487179487,20.472334682860996,0.04291790600832837,18.596341463414618
"frozenset({'malaise', 'skin rash'})",frozenset({'red spots over body'}),0.04390243902439024,0.9729729729729729,20.457380457380456,0.041756395002974414,35.24024390243895
frozenset({'red spots over body'}),"frozenset({'malaise', 'skin rash'})",0.04390243902439024,0.923076923076923,20.457380457380456,0.041756395002974414,12.413414634146331
frozenset({'red spots over body'}),"frozenset({'loss of appetite', 'skin rash'})",0.04390243902439024,0.923076923076923,20.457380457380456,0.041756395002974414,12.413414634146331
"frozenset({'loss of appetite', 'skin rash'})",frozenset({'red spots over body'}),0.04390243902439024,0.9729729729729729,20.457380457380456,0.041756395002974414,35.24024390243895
frozenset({'red spots over body'}),"frozenset({'headache', 'skin rash'})",0.04390243902439024,0.923076923076923,20.457380457380456,0.041756395002974414,12.413414634146331
"frozenset({'headache', 'skin rash'})",frozenset({'red spots over body'}),0.04390243902439024,0.9729729729729729,20.457380457380456,0.041756395002974414,35.24024390243895
frozenset({'painful walking'}),frozenset({'swelling joints'}),0.04390243902439024,0.9473684210526315,20.44321329639889,0.04175490779298037,18.11951219512193
frozenset({'swelling joints'}),frozenset({'painful walking'}),0.04390243902439024,0.9473684210526315,20.44321329639889,0.04175490779298037,18.11951219512193
"frozenset({'fatigue', 'skin rash'})",frozenset({'red spots over body'}),0.042682926829268296,0.9722222222222223,20.441595441595442,0.04059488399762047,34.2878048780489
frozenset({'red spots over body'}),"frozenset({'fatigue', 'skin rash'})",0.042682926829268296,0.8974358974358975,20.441595441595442,0.04059488399762047,9.321951219512197
frozenset({'mood swings'}),"frozenset({'fatigue', 'abnormal menstruation'})",0.042682926829268296,0.9210526315789475,20.412517780938835,0.04059190957763237,12.095121951219525
"frozenset({'fatigue', 'abnormal menstruation'})",frozenset({'mood swings'}),0.042682926829268296,0.945945945945946,20.412517780938835,0.04059190957763237,17.642682926829302
"frozenset({'weight loss', 'excessive hunger'})",frozenset({'restlessness'}),0.041463414634146344,0.9444444444444445,20.38011695906433,0.03942891136228436,17.165853658536612
frozenset({'restlessness'}),"frozenset({'weight loss', 'excessive hunger'})",0.041463414634146344,0.8947368421052632,20.380116959064328,0.03942891136228436,9.082926829268294
frozenset({'red spots over body'}),"frozenset({'skin rash', 'high fever'})",0.042682926829268296,0.8974358974358975,14.151873767258383,0.039666864961332544,9.131707317073174
"frozenset({'skin rash', 'high fever'})",frozenset({'red spots over body'}),0.042682926829268296,0.6730769230769231,14.151873767258383,0.039666864961332544,2.913342898134864
"frozenset({'cough', 'swelled lymph nodes'})",frozenset({'phlegm'}),0.045121951219512194,1.0,13.898305084745763,0.041875371802498514,inf
"frozenset({'chills', 'swelled lymph nodes'})",frozenset({'phlegm'}),0.045121951219512194,1.0,13.898305084745763,0.041875371802498514,inf
"frozenset({'chest pain', 'swelled lymph nodes'})",frozenset({'phlegm'}),0.0475609756097561,1.0,13.898305084745763,0.04413890541344438,inf
frozenset({'phlegm'}),"frozenset({'cough', 'swelled lymph nodes'})",0.045121951219512194,0.6271186440677966,13.898305084745763,0.041875371802498514,2.5608093126385807
